City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Atuona,-9.8,-139.03,77.82,100,92,13.13
Tiksi,71.64,128.87,61.8,82,0,4.41
Birjand,32.86,59.22,64.4,23,0,4.7
Kavieng,-2.57,150.8,77.37,100,80,1.95
Basco,40.33,-91.2,87.08,73,90,8.05
Cabo San Lucas,22.89,-109.91,89.6,55,20,11.41
Tual,-5.67,132.75,79.53,99,36,11.56
Fortuna,38.18,-1.13,75.2,83,0,4.7
Cape Town,-33.93,18.42,50.0,100,40,6.93
Airai,-8.93,125.41,82.05,51,12,1.39
Vaini,15.34,74.49,70.35,98,92,9.33
Rikitea,-23.12,-134.97,75.03,96,88,18.39
Petropavlovsk-Kamchatskiy,53.05,158.65,57.2,67,40,2.24
Oro Valley,32.39,-110.97,98.24,16,1,5.82
Hambantota,6.12,81.12,78.99,100,48,12.8
Punta Arenas,-53.16,-70.91,35.6,74,75,24.16
Hilo,19.71,-155.08,77.0,77,75,5.82
Sola,58.89,5.65,59.0,82,0,11.41
Vilhena,-12.74,-60.15,73.95,76,64,2.06
Dawlatabad,36.41,64.91,68.73,41,0,5.75
Lagoa,37.14,-8.45,69.8,73,0,2.24
Isangel,-19.55,169.27,71.52,100,92,13.47
Kruisfontein,-34.0,24.73,53.16,98,32,8.21
Altos,-5.04,-42.46,80.6,61,0,2.24
Volodarka,49.52,29.93,62.7,96,100,7.76
Marovoay,-16.11,46.64,73.4,78,20,6.93
Castro,-42.48,-73.76,39.48,100,92,5.75
Tiznit,29.7,-9.73,68.19,98,56,0.6
Santa Rosalia,38.07,13.27,71.6,73,0,6.93
Narsaq,60.91,-46.05,41.0,80,80,6.93
Moissala,8.34,17.77,67.92,98,76,4.52
Qaanaaq,77.48,-69.36,31.92,100,80,3.18
Nanortalik,60.14,-45.24,40.47,100,100,12.8
Veraval,49.65,0.71,62.6,82,80,11.41
Mar del Plata,-46.43,-67.52,41.37,53,48,15.03
Puerto Ayora,-0.74,-90.35,70.53,100,64,14.58
Kloulklubed,7.04,134.26,77.0,94,90,9.17
East London,-33.02,27.91,61.89,100,0,7.76
Rockland,42.13,-70.92,89.96,83,1,5.82
Haines Junction,60.75,-137.51,42.99,99,88,2.62
College Station,30.63,-96.33,85.1,74,1,6.93
Pevek,69.7,170.27,44.7,97,56,8.99
Busselton,-33.64,115.35,55.32,100,100,28.12
Bilma,18.69,12.92,76.11,35,0,2.73
Rio Gallegos,-51.62,-69.22,35.6,55,75,23.04
Sterling,39.0,-77.4,84.92,88,1,4.7
Chokurdakh,70.62,147.9,56.04,75,0,5.75
Bambous Virieux,-20.34,57.76,69.8,73,75,9.17
Kedrovyy,56.17,91.82,53.6,81,0,4.18
Nikolskoye,59.7,30.79,50.0,93,88,2.24
Channel-Port aux Basques,47.57,-59.14,69.9,86,56,20.96
Saint-Philippe,45.36,-73.48,80.6,74,1,9.17
Khatanga,71.98,102.47,63.51,66,0,12.01
Saskylakh,71.97,114.09,62.52,75,44,8.1
Nadym,65.53,72.51,58.56,68,24,8.32
Amarpur,23.52,91.65,80.6,88,40,4.7
Viedma,-40.81,-62.99,62.79,29,68,11.45
Tasiilaq,65.61,-37.64,39.2,64,48,4.7
Mersing,2.43,103.84,85.38,93,24,5.41
Nhulunbuy,-12.18,136.78,84.2,51,40,8.05
Jhanjharpur,26.21,86.23,81.24,89,92,8.66
Santa Rosa,-36.62,-64.29,54.69,56,0,5.75
Wichita,37.69,-97.34,87.08,67,75,21.92
Jumla,29.28,82.18,41.46,94,100,2.39
Tumpat,6.2,102.17,78.8,83,75,5.82
Arlit,18.74,7.39,79.17,57,36,9.44
Tura,25.52,90.21,81.33,88,92,2.95
Saldanha,41.42,-6.55,56.76,89,0,2.73
Jasper,33.83,-87.28,86.0,94,1,3.96
Olden,61.84,6.81,42.0,92,64,1.39
Sadri,25.19,73.45,76.92,93,92,4.29
Sai Buri,6.7,101.62,82.4,88,0,8.05
Umm Lajj,25.02,37.27,75.66,100,0,5.3
Tymovskoye,50.85,142.66,60.54,85,92,4.52
Port Moresby,-9.47,147.16,84.2,94,40,17.22
Port Macquarie,-31.43,152.91,60.8,81,0,9.17
Sao Filipe,14.9,-24.5,77.91,100,56,9.33
Aldan,58.61,125.39,63.69,73,12,3.18
Dukat,42.44,22.31,55.59,100,80,1.95
Yuli,10.52,9.86,71.07,92,64,8.55
Hermanus,-34.42,19.24,37.5,100,24,2.28
Melo,-32.37,-54.17,49.02,78,0,5.97
Geraldton,49.72,-86.95,50.0,76,75,4.7
Mahebourg,-20.41,57.7,69.8,73,75,9.17
Kaitangata,-46.28,169.85,51.09,76,36,19.84
Coquimbo,-29.95,-71.34,51.8,87,90,1.12
Pinehurst,35.19,-79.47,85.1,97,1,6.87
Noshiro,40.21,140.05,75.2,73,75,5.82
Nakkila,61.37,22.0,50.0,93,0,2.24
Omboue,-1.57,9.26,75.3,100,92,12.01
Mahenge,-8.68,36.72,63.33,75,0,4.41
North Bend,43.41,-124.22,64.94,72,1,6.93
Bredasdorp,-34.53,20.04,53.6,93,80,3.36
Villa Carlos Paz,-31.42,-64.5,60.8,38,0,9.17
Port Elizabeth,39.31,-74.98,86.0,87,1,11.23
Padang,-0.92,100.36,81.6,100,24,4.74
Lorengau,-2.02,147.27,87.8,70,40,11.41
Shimoda,34.7,138.93,82.4,83,40,10.29
Niksar,40.59,36.95,54.87,93,36,1.72
Khorixas,-20.37,14.96,57.3,18,0,10.33
Logrono,42.47,-2.45,68.0,68,75,2.39
Ngudu,-2.97,33.34,59.64,95,68,3.06
Grindavik,63.84,-22.43,48.2,81,75,16.11
Talnakh,69.49,88.39,53.88,73,44,3.29
Vao,59.1,26.19,48.48,83,0,3.62
Bondo,3.81,23.69,70.89,93,88,1.83
Biskamzha,53.45,89.53,62.7,55,0,2.84
Ponta Delgada,37.73,-25.67,73.4,83,20,3.36
Anadyr,64.73,177.51,48.2,100,75,2.24
Norrtalje,59.76,18.7,57.2,100,0,2.24
Longyearbyen,78.22,15.63,39.2,99,75,4.7
Anupgarh,29.19,73.21,89.34,59,56,7.65
Zhigansk,66.77,123.37,60.63,71,0,2.95
The Valley,18.22,-63.06,84.2,74,40,10.29
Mehamn,71.03,27.85,39.21,90,0,6.98
Georgetown,6.8,-58.16,75.2,100,20,4.7
Saint George,39.45,22.34,67.47,80,80,3.4
Dikson,73.51,80.55,44.97,100,20,28.9
Biak,-0.91,122.88,76.29,100,48,3.62
Hobart,-42.88,147.33,48.2,61,75,10.29
Sitka,37.17,-99.65,83.94,40,8,10.56
Faya,18.39,42.45,68.0,49,0,2.95
Vardo,39.62,-77.74,87.08,69,1,3.36
Cayenne,4.94,-52.33,78.8,88,0,6.93
Guarapari,-20.67,-40.5,68.0,82,75,6.93
Chuy,-33.69,-53.46,53.07,88,0,11.9
Seoul,37.57,126.98,83.48,69,75,17.22
Grand Gaube,-20.01,57.66,69.8,73,75,9.17
Acapulco,16.86,-99.88,82.4,78,75,5.82
San Luis,-33.3,-66.34,52.8,43,0,6.2
Puri,-7.54,112.45,80.6,69,20,4.7
Bucsani,44.87,25.65,68.0,88,0,2.24
Wanlaweyn,2.62,44.89,74.04,82,88,8.99
Cherskiy,68.75,161.3,47.85,66,12,4.18
Atchison,39.56,-95.12,82.04,83,90,13.87
Surovikino,48.61,42.84,61.71,60,0,9.66
Upington,-28.46,21.24,44.6,73,0,3.36
Novobureyskiy,49.8,129.88,73.32,71,56,3.62
Severo-Kurilsk,50.68,156.12,53.34,86,76,12.91
Tuktoyaktuk,69.44,-133.03,41.0,80,90,16.11
Ilulissat,69.22,-51.1,33.8,74,56,4.7
Kirakira,-10.46,161.92,82.86,100,8,8.77
Carnarvon,-30.97,22.13,28.41,70,0,3.06
Hasaki,35.73,140.83,77.0,88,75,10.29
Lima,-12.06,-77.04,58.2,68,44,2.95
Tuatapere,-46.13,167.69,49.29,100,88,4.18
Souillac,45.6,-0.6,68.0,88,90,10.29
Hohhot,40.81,111.65,69.8,56,0,15.66
Strelka,58.08,93.03,61.8,73,0,5.08
Katsuura,33.93,134.5,86.0,66,20,5.82
Egvekinot,66.32,-179.17,48.84,74,20,3.96
Aleysk,52.5,82.77,65.4,68,20,4.63
Puerto del Rosario,28.5,-13.86,71.6,83,8,17.22
Shihezi,44.3,86.03,74.04,54,0,16.04
Matagami,9.67,8.4,66.39,98,92,3.06
Aklavik,68.22,-135.01,41.0,100,90,11.41
Pustoshka,56.34,29.37,53.25,96,44,10.89
Touros,-5.2,-35.46,72.78,96,68,15.03
San Cristobal,-0.39,-78.55,53.6,71,75,14.99
Nuevo Progreso,26.05,-97.95,89.96,58,1,11.41
Husavik,50.56,-96.99,56.94,83,64,9.44
Ostroleka,53.09,21.58,45.78,84,0,2.73
Harbour Breton,47.48,-55.8,64.14,94,44,13.47
Carutapera,-1.2,-46.02,79.26,81,12,10.45
Adrar,27.87,-0.29,89.6,18,0,6.93
Ribeira Grande,38.52,-28.7,75.66,98,56,13.13
Kaa-Khem,51.7,94.56,62.34,84,48,3.62
Cumberland,41.97,-71.43,87.08,76,1,9.17
Matara,-13.74,-72.9,30.3,75,0,1.95
Ulaangom,49.98,92.07,60.9,49,0,2.39
Lebu,8.96,38.73,52.53,97,92,2.84
Arman,59.7,150.17,62.6,55,75,4.47
Los Llanos de Aridane,28.66,-17.92,71.6,68,20,14.99
Uyemskiy,64.47,40.85,41.0,100,20,4.47
Codrington,-28.95,153.24,63.96,57,0,4.41
Sayyan,15.17,44.32,66.21,34,92,3.62
Kupang,-10.16,123.6,86.0,42,20,5.82
Kodiak,39.95,-94.76,73.04,96,90,13.87
Muscat,23.6,58.55,80.6,94,0,8.05
San Joaquin,10.59,122.14,87.72,62,12,3.62
Noyabrsk,63.2,75.45,57.12,83,0,7.76
Walvis Bay,-22.95,14.51,64.77,80,0,17.72
North Platte,41.12,-100.77,66.02,56,1,5.82
Victoria,5.28,115.24,89.6,79,75,3.36
Poum,41.28,20.71,51.27,98,24,1.83
Sikonge,-5.63,32.75,69.8,56,40,11.41
Luderitz,-26.65,15.16,56.49,53,0,4.29
Wanning,48.64,13.53,57.2,87,0,2.24
Kahului,20.89,-156.47,87.98,61,40,19.46
Lompoc,34.64,-120.46,73.04,56,1,10.29
Madimba,4.42,9.93,77.0,94,75,6.08
Shunyi,40.13,116.65,80.6,47,0,4.47
Bullhead City,35.15,-114.57,104.0,8,1,8.05
Osakarovka,50.56,72.58,54.06,97,88,9.78
Waingapu,-9.65,120.26,83.67,65,8,3.62
Iquitos,-3.75,-73.25,75.2,88,0,2.24
Tabou,4.42,-7.36,77.46,100,88,6.76
Stephenville,32.22,-98.2,94.64,32,1,6.93
Ulaanbaatar,47.92,106.92,60.8,67,75,2.24
Rio Tercero,-32.17,-64.11,62.7,44,0,11.68
Leningradskiy,69.38,178.42,43.8,81,24,12.57
Mount Gambier,-37.83,140.78,48.66,84,88,7.99
Ocos,14.51,-92.19,78.8,88,90,4.29
Itarema,-2.92,-39.92,76.29,87,0,13.24
Krasnovishersk,60.4,57.08,59.64,90,32,4.85
Arraias,-12.93,-46.94,72.96,50,0,9.44
Muhos,64.81,26.0,48.2,93,0,5.82
Mbanza-Ngungu,-5.25,14.87,68.37,90,0,6.76
Gizo,31.8,34.94,77.0,73,20,3.36
Yumen,40.29,97.04,66.03,95,0,6.42
Serik,36.92,31.1,77.0,73,40,4.7
Kysyl-Syr,63.9,122.77,63.6,73,0,3.62
San Quintin,17.54,120.52,82.4,78,75,4.7
LOS ALGARROBOS,-3.25,-79.94,89.6,33,20,4.7
Comodoro Rivadavia,-45.87,-67.48,48.2,45,40,11.41
Alegrete,-29.79,-55.79,51.99,81,0,3.62
Wairoa,-39.04,177.43,59.19,84,48,19.06
Kharitonovo,61.4,47.5,51.63,91,0,3.51
Bubaque,11.28,-15.83,77.0,94,40,4.7
Chambersburg,39.94,-77.66,87.08,74,1,6.93
Guilin,25.28,110.29,80.6,88,40,4.47
Maceio,-9.67,-35.74,71.6,94,40,10.29
Shenjiamen,29.96,122.3,83.49,91,36,14.92
Thinadhoo,0.53,72.93,81.33,100,56,5.19
Roald,62.58,6.12,53.6,100,64,4.7
La Ronge,55.1,-105.3,55.4,58,75,5.82
Moron,10.49,-68.2,75.2,88,90,2.39
San Blas,21.54,-105.29,75.2,83,75,0.27
Dobris,49.78,14.17,55.4,76,0,3.36
Northam,51.04,-4.21,57.2,93,40,3.36
Port Lincoln,-34.72,135.86,66.3,65,92,21.85
Avarua,-21.21,-159.78,73.4,49,75,13.87
Mosquera,4.71,-74.23,57.2,67,20,5.82
Lavrentiya,65.58,-170.99,45.96,96,0,10.0
Nago,45.88,10.89,62.6,67,0,5.82
Killybegs,54.63,-8.45,54.87,100,92,16.04
Neyyattinkara,8.4,77.08,78.8,83,75,10.29
Moa,20.66,-74.95,76.65,80,76,5.19
Mao,19.55,-71.08,80.6,88,40,9.17
Faanui,-16.48,-151.75,79.62,100,24,2.95
Ola,59.58,151.3,62.6,55,75,4.47
Vila Velha,-3.71,-38.6,78.8,78,40,12.75
Mae Sai,20.44,99.89,77.0,88,75,4.7
Masallatah,32.62,14.0,70.8,81,92,2.95
San Remo,-33.21,151.52,59.0,38,0,16.11
Ueda,36.41,138.25,84.2,54,75,6.93
Komsomolskiy,67.55,63.78,47.58,98,92,10.78
Coolum Beach,-26.53,153.09,69.27,63,0,4.18
Gornoye Loo,43.72,39.61,71.6,83,24,8.95
Margate,-43.03,147.26,48.2,61,75,10.29
Sur,22.57,59.53,83.4,90,0,7.65
Half Moon Bay,37.46,-122.43,73.4,58,20,14.99
Rupert,42.62,-113.68,73.94,24,1,4.7
Poim,53.03,43.19,59.46,69,44,3.51
Sao Felix do Xingu,-6.64,-51.99,73.23,89,8,2.73
Ta Khmau,11.48,104.95,84.2,74,40,8.05
Flinders,-34.58,150.85,57.2,30,0,8.05
Port Blair,11.67,92.75,83.4,94,80,17.05
Inirida,3.87,-67.92,71.97,97,64,1.95
Ilobu,7.84,4.49,71.34,99,92,3.96
Oranjemund,-28.55,16.43,58.47,88,0,18.05
Baykit,61.68,96.39,57.12,90,20,5.97
Vestmanna,62.16,-7.17,48.2,93,20,16.11
Pokaran,26.93,71.92,87.36,62,56,6.08
Halifax,44.65,-63.58,69.8,94,40,11.41
Hualmay,-11.1,-77.61,53.43,92,48,5.08
Iwaki,37.05,140.89,71.6,94,75,5.82
Igrim,63.19,64.42,57.93,88,76,3.06
Marawi,8.0,124.29,79.62,75,12,2.73
Le Port,42.87,1.37,55.59,70,64,1.72
Turukhansk,65.8,87.96,60.9,90,0,5.53
North Battleford,52.78,-108.3,60.8,44,75,6.93
Kamalpur,24.17,91.81,80.6,88,40,4.7
Milicz,51.53,17.27,48.2,93,0,1.12
Aquiraz,-3.9,-38.39,78.8,78,40,12.75
Comandau,45.77,26.27,56.85,97,44,2.06
Mandalgovi,45.76,106.27,67.02,79,76,5.64
Sambava,-14.27,50.17,71.79,100,100,13.13
Ancud,-41.87,-73.83,39.3,100,92,7.43
Maldonado,-34.91,-54.96,53.6,71,0,5.82
Dongfeng,42.67,125.53,66.84,100,92,4.97
Pathein,16.78,94.73,73.86,100,92,8.66
Hosdurga,13.8,76.29,72.51,92,24,13.58
Paita,-5.09,-81.11,63.33,90,0,5.3
Zyryanka,65.73,150.89,54.6,67,0,3.18
Saint-Pierre,48.95,4.24,62.6,77,0,9.17
Dolzhanskaya,46.63,37.8,73.59,92,32,19.73
Muros,42.77,-9.06,59.0,100,90,3.36
Novopokrovka,45.85,134.51,70.44,73,80,4.74
Necochea,-38.55,-58.74,56.49,68,0,9.33
Pisco,-13.71,-76.2,62.6,82,90,10.29
Churapcha,62.0,132.43,61.26,93,24,3.29
Esperance,10.24,-61.45,77.0,100,20,3.51
Klaksvik,62.23,-6.59,48.2,93,56,16.11
Gigmoto,13.78,124.39,84.48,96,8,4.63
Taitung,22.76,121.15,73.4,100,90,6.93
Evensk,61.92,159.24,52.62,95,0,9.44
Ardmore,34.99,-86.85,87.08,69,40,3.36
Xiaoshi,30.59,116.63,84.21,83,68,3.74
Teya,21.05,-89.07,75.2,88,75,4.7
Bonavista,48.65,-53.11,66.39,82,8,15.26
Hofn,64.25,-15.21,45.87,100,0,16.49
Buchanan,5.88,-10.05,77.0,94,75,6.08
Marzuq,14.4,46.47,73.5,42,76,5.3
Maunabo,18.01,-65.9,82.94,97,80,12.75
Greenwood,32.03,-101.9,94.1,34,1,11.41
Imbituba,-28.24,-48.67,62.6,88,0,8.05
Holliston,42.2,-71.42,89.06,76,1,9.17
Iqaluit,63.75,-68.52,44.6,75,75,13.87
Santa Maria,-29.69,-53.81,59.0,82,0,3.36
San Patricio,-26.98,-56.83,69.72,68,0,6.42
Irece,-11.3,-41.86,64.77,84,44,10.78
Garowe,8.41,48.48,78.9,53,48,19.39
Chibombo,-14.68,28.09,59.01,73,0,15.48
Broken Hill,-31.97,141.45,70.71,42,0,16.6
Cidreira,-30.17,-50.22,50.37,85,0,6.31
Pangnirtung,66.15,-65.72,35.97,100,80,4.63
Gwadar,25.12,62.33,78.18,100,88,2.17
Quelimane,-17.88,36.89,69.81,97,76,10.33
Durres,41.32,19.44,64.4,88,0,13.91
Mitsamiouli,-11.38,43.28,74.49,100,0,11.34
Biltine,14.53,20.93,73.41,82,20,8.43
Anaco,9.43,-64.46,70.71,95,44,0.94
Uspenka,48.39,39.16,60.09,49,12,7.99
Beloha,-25.17,45.06,61.62,85,24,7.87
Roebourne,-20.77,117.15,72.15,59,24,13.02
Thompson,55.74,-97.86,50.0,66,75,2.24
Vila Franca do Campo,37.72,-25.43,73.4,83,20,3.36
Praia da Vitoria,38.73,-27.07,73.4,83,20,12.8
Kifri,34.69,44.96,70.35,32,0,4.41
Seymchan,62.93,152.39,51.63,73,24,3.74
Hobyo,5.35,48.53,73.95,86,68,19.51
Kudat,6.89,116.84,86.0,70,75,4.7
Bulgan,48.81,103.53,59.64,93,92,3.62
Farafangana,-22.82,47.83,68.01,100,92,11.01
Sereflikochisar,38.94,33.54,59.46,100,0,2.39
Yellowknife,62.45,-114.38,62.6,39,20,5.82
Praia,-20.25,-43.81,64.4,72,0,5.82
Shumskiy,54.83,99.13,55.32,96,92,2.84
Takoradi,4.89,-1.75,74.58,98,20,7.76
Avera,33.19,-82.53,87.08,68,90,3.36
Ust-Maya,60.42,134.54,64.41,68,76,3.62
Olga,34.11,-118.17,84.02,52,1,8.05
Inhambane,-23.87,35.38,62.34,100,0,8.43
Lata,30.78,78.62,59.37,100,92,0.72
Normandin,48.84,-72.53,64.4,77,90,16.11
Kpandae,8.46,-0.01,71.07,100,92,3.4
Maniitsoq,65.42,-52.9,39.12,100,88,3.4
Nampula,-15.12,39.26,68.0,94,75,3.36
Yar-Sale,66.83,70.83,54.06,100,92,13.58
Marsh Harbour,26.54,-77.06,83.13,100,68,14.58
Zharkent,44.17,80.0,59.46,54,0,0.94
Coihaique,-45.58,-72.07,33.8,69,0,5.82
Ondjiva,-17.07,15.73,58.74,27,0,12.24
Abu Dhabi,24.47,54.37,95.0,34,0,5.82
Chicama,-7.84,-79.15,62.6,88,0,8.05
Loreto,-23.27,-57.32,77.46,58,0,13.02
Nara,34.68,135.8,89.6,66,75,6.93
Saryozek,44.36,77.98,61.71,67,80,3.96
Moss Vale,-34.55,150.37,57.2,30,0,8.05
Kasongo,-4.43,26.67,71.7,81,36,4.74
Yulara,-25.24,130.99,82.4,8,32,23.04
Shingu,33.72,135.99,82.4,83,40,4.7
Coracao de Jesus,-16.69,-44.37,66.75,66,36,13.24
Fatima,24.03,-104.66,78.8,31,75,8.05
Yeppoon,-23.13,150.74,75.2,25,0,4.7
Sovetskaya Gavan,48.97,140.29,66.57,81,48,11.34
Cockburn Town,21.46,-71.14,84.75,93,56,22.53
Forio,40.73,13.86,75.2,68,0,4.7
Clyde River,70.47,-68.59,35.6,100,90,5.82
Broome,52.47,1.45,59.0,93,32,1.12
Sioux Lookout,50.1,-91.92,50.0,76,75,2.24
Maine-Soroa,13.21,12.02,77.1,79,0,8.66
Nome,30.04,-94.42,82.04,84,75,8.05
Lazaro Cardenas,28.39,-105.62,71.6,49,90,25.28
San Antonio,-33.58,-71.61,46.4,100,0,2.62
Zunyi,27.73,106.92,86.46,53,0,6.98
Verkhoyansk,67.55,133.39,60.18,77,12,3.62
Fukue,35.03,136.69,86.0,70,20,3.36
Goba,7.01,39.97,49.29,90,68,2.73
Rizhao,35.43,119.46,83.31,90,64,7.76
Beni,0.49,29.47,63.24,97,92,2.84
Kyritz,52.94,12.4,50.1,86,0,2.84
Norman Wells,65.28,-126.83,55.4,66,75,16.11
Tabuk,17.41,121.44,77.64,84,88,1.5
Ranaghat,23.17,88.56,82.4,94,75,8.05
Santa Lucia,39.93,9.66,69.8,68,5,5.82
Constitucion,23.99,-104.67,78.8,31,75,8.05
Murgab,37.5,61.97,64.4,55,0,7.2
Schwarzenberg,49.27,12.9,55.4,82,0,2.24
De-Kastri,51.48,140.77,62.43,90,92,8.55
Bud,62.91,6.91,53.6,93,64,5.82
Tiarei,-17.53,-149.33,84.2,66,20,9.17
Mangalia,43.8,28.58,68.0,77,0,11.41
Grafton,-29.69,152.93,64.5,61,0,3.06
Zuwarah,32.93,12.08,73.86,100,0,5.53
Eureka,40.8,-124.16,62.6,77,1,11.41
Peniche,39.36,-9.38,64.4,88,75,13.87
Hami,42.84,93.51,83.31,44,0,7.87
Sochi,43.6,39.73,71.6,83,24,8.95
Awjilah,29.14,21.3,73.14,64,0,8.66
Bafoulabe,13.81,-10.83,73.95,94,88,6.31
Sao Miguel do Iguacu,-25.35,-54.24,71.6,73,0,3.36
Pitkyaranta,61.57,31.48,47.22,81,0,3.74
Dickinson,46.88,-102.79,55.94,83,75,9.17
Ormara,25.21,64.64,77.82,96,92,8.43
Saint-Francois,46.42,3.91,73.4,60,0,10.29
Saint-Augustin,44.83,-0.61,71.6,94,90,12.75
Yunyang,32.84,110.81,84.84,67,0,3.62
Khash,28.22,61.21,60.72,33,0,4.07
Ahuimanu,21.44,-157.84,84.92,77,90,10.29
Ambon,47.55,-2.56,60.8,100,92,8.05
Yuci,37.68,112.73,77.0,65,24,8.95
Villa Rica,-10.74,-75.27,67.83,83,0,1.95
Urambo,-5.07,32.07,67.29,57,32,2.62
Caravelas,-17.73,-39.27,75.39,100,76,16.04
Nalut,31.86,10.98,67.74,78,0,5.97
Preili,56.29,26.72,48.84,84,0,3.4
Zhanaozen,43.35,52.85,66.12,31,0,8.77
Finnsnes,69.23,17.98,42.8,100,76,14.99
Orapa,-21.28,25.37,57.66,67,0,13.8
Krasnyy Yar,50.7,44.73,55.95,60,8,6.42
Kostomuksha,64.59,30.6,45.06,89,0,2.28
Yanam,16.73,82.22,78.36,99,56,8.55
Voyvozh,62.89,54.96,53.7,96,80,12.12
Yatou,3.63,9.81,77.0,94,75,11.23
Bathsheba,13.22,-59.52,78.8,88,40,13.87
Skjervoy,70.03,20.97,52.53,93,24,11.23
Bantou,26.22,117.49,78.36,87,76,2.73
Lubumbashi,-11.66,27.48,60.0,62,0,11.01
Quatre Cocos,-20.21,57.76,69.8,73,75,9.17
Santo Tomas,15.88,120.59,85.83,87,24,7.65
Dongsheng,29.72,112.52,90.69,81,20,8.88
Asyut,27.18,31.19,77.0,69,0,14.99
Nuuk,64.17,-51.74,39.2,86,64,1.12
Dingle,11.0,122.67,87.72,62,12,3.62
Jaciara,-15.95,-54.98,72.06,76,0,2.62
Masaki,33.79,132.71,84.92,74,20,10.29
Svetlaya,46.54,138.33,64.32,99,32,5.75
Vadlapudi,14.32,79.8,87.63,56,8,11.01
Langenzenn,49.5,10.79,59.0,81,0,2.24
Waikuku,-43.29,172.68,50.0,93,92,6.93
Tottenham,-32.24,147.35,57.57,55,0,4.63
Kenai,60.55,-151.26,64.94,48,1,6.93
Labuhan,-2.54,115.51,83.76,77,24,2.51
Mount Isa,-20.73,139.49,80.6,10,0,9.17
Ambilobe,-13.19,49.05,63.96,74,0,8.55
Sonepur,25.7,85.16,84.2,89,75,5.82
Camopi,3.17,-52.33,76.11,80,0,4.29
Kaeo,-35.1,173.78,62.7,78,48,4.18
Beaverlodge,55.21,-119.43,59.0,82,90,10.29
Lukovetskiy,64.29,41.92,41.0,100,20,4.47
Krasnyy Chikoy,50.36,108.75,69.72,63,12,3.74
Ahipara,-35.17,173.16,60.09,86,32,6.42
Homer,59.64,-151.54,60.08,64,1,11.41
Yook,13.23,121.96,84.12,97,8,4.63
Myaundzha,63.05,147.18,56.94,61,44,3.62
Itapetinga,-15.25,-40.25,64.32,96,92,5.41
Ludvika,60.15,15.18,55.4,100,92,1.12
Pacific Grove,36.62,-121.92,68.0,56,1,14.99
Boone,36.22,-81.67,78.98,93,1,1.16
Morondava,-20.3,44.28,70.44,88,0,7.43
Bilibino,68.06,166.44,48.57,56,24,3.18
Bokovskaya,49.23,41.83,60.36,56,0,8.99
Ashland,38.48,-82.64,82.04,71,1,3.85
San Rafael,-34.61,-68.33,44.16,49,0,3.18
Haapiti,-17.57,-149.87,84.2,66,20,9.17
Erenhot,43.65,111.97,73.23,72,0,6.64
Ibra,22.69,58.55,69.99,78,0,2.73
Ketchikan,55.34,-131.65,62.96,67,90,8.77
Barquisimeto,10.07,-69.32,75.2,78,20,2.24
Lubango,-14.92,13.49,54.24,66,0,3.29
Iracoubo,5.48,-53.21,77.82,82,8,6.64
